datestamp	certsIssued	certsActive	fqdnsActive	regDomainsActive
2015-09-12	1	NULL	NULL	NULL
2015-09-17	1	1	NULL	NULL
2015-09-25	3	4	NULL	NULL
2015-09-26	3	7	NULL	NULL
2015-09-27	1	8	NULL	NULL
2015-09-28	1	9	NULL	NULL
2015-09-30	1	10	12	8
2015-10-01	2	12	NULL	NULL
2015-10-05	2	14	NULL	NULL
2015-10-07	1	15	NULL	NULL
2015-10-08	4	19	NULL	NULL
2015-10-09	1	20	NULL	NULL
2015-10-10	3	23	NULL	NULL
2015-10-11	1	24	NULL	NULL
2015-10-12	4	28	NULL	NULL
2015-10-13	3	31	NULL	NULL
2015-10-14	3	34	NULL	NULL
2015-10-15	8	42	NULL	NULL
2015-10-16	4	46	43	15
2015-10-17	1	47	NULL	NULL
2015-10-18	1	48	NULL	NULL
2015-10-19	3	51	NULL	NULL
2015-10-20	7	58	NULL	NULL
2015-10-21	8	66	NULL	NULL
2015-10-22	40	106	NULL	NULL
2015-10-23	45	151	NULL	NULL
2015-10-24	40	191	NULL	NULL
2015-10-25	11	202	NULL	NULL
2015-10-26	107	309	NULL	NULL
2015-10-27	394	703	NULL	NULL
2015-10-28	230	933	NULL	NULL
2015-10-29	288	1221	NULL	NULL
2015-10-30	406	1627	NULL	NULL
2015-10-31	275	1902	NULL	NULL
2015-11-01	156	2058	2373	1398
2015-11-02	132	2190	NULL	NULL
2015-11-03	234	2424	NULL	NULL
2015-11-04	2343	4767	NULL	NULL
2015-11-05	1429	6196	NULL	NULL
2015-11-06	588	6784	NULL	NULL
2015-11-07	493	7277	NULL	NULL
2015-11-08	336	7613	NULL	NULL
2015-11-09	438	8051	NULL	NULL
2015-11-10	1948	9999	NULL	NULL
2015-11-11	945	10944	NULL	NULL
2015-11-12	571	11515	NULL	NULL
2015-11-13	587	12102	NULL	NULL
2015-11-14	370	12472	NULL	NULL
2015-11-15	386	12858	NULL	NULL
2015-11-16	1061	13919	NULL	NULL
2015-11-17	2410	16329	NULL	NULL
2015-11-18	835	17164	NULL	NULL
2015-11-19	547	17711	NULL	NULL
2015-11-20	486	18197	NULL	NULL
2015-11-21	393	18590	NULL	NULL
2015-11-22	310	18900	NULL	NULL
2015-11-23	614	19514	NULL	NULL
2015-11-24	2033	21547	NULL	NULL
2015-11-25	747	22294	NULL	NULL
2015-11-26	485	22779	NULL	NULL
2015-11-27	346	23125	NULL	NULL
2015-11-28	321	23446	NULL	NULL
2015-11-29	309	23755	NULL	NULL
2015-11-30	429	24184	28164	13005
2015-12-01	1625	25809	NULL	NULL
2015-12-02	657	26466	NULL	NULL
2015-12-03	10365	36831	NULL	NULL
2015-12-04	20444	57275	NULL	NULL
2015-12-05	10109	67384	NULL	NULL
2015-12-06	7500	74884	NULL	NULL
2015-12-07	9211	84095	NULL	NULL
2015-12-08	7584	91679	NULL	NULL
2015-12-09	7551	99230	NULL	NULL
2015-12-10	6429	105659	NULL	NULL
2015-12-11	6296	111955	NULL	NULL
2015-12-12	5374	117329	NULL	NULL
2015-12-13	5561	122890	NULL	NULL
2015-12-14	6031	128921	NULL	NULL
2015-12-15	6954	135875	NULL	NULL
2015-12-16	8482	144356	173952	76091
2015-12-17	7444	151800	NULL	NULL
2015-12-18	5932	157732	NULL	NULL
2015-12-19	4446	162178	NULL	NULL
2015-12-20	8171	170349	NULL	NULL
2015-12-21	5608	175957	NULL	NULL
2015-12-22	8767	184724	NULL	NULL
2015-12-23	5916	190640	NULL	NULL
2015-12-24	4102	194739	NULL	NULL
2015-12-25	3351	198087	NULL	NULL
2015-12-26	3473	201559	NULL	NULL
2015-12-27	3970	205528	NULL	NULL
2015-12-28	5498	211026	NULL	NULL
2015-12-29	6036	217061	NULL	NULL
2015-12-30	5279	222338	NULL	NULL
2015-12-31	5774	228112	NULL	NULL
2016-01-01	5726	233838	NULL	NULL
2016-01-02	4652	238490	NULL	NULL
2016-01-03	4695	243183	NULL	NULL
2016-01-04	6410	249593	NULL	NULL
2016-01-05	6291	255883	NULL	NULL
2016-01-06	6345	262224	NULL	NULL
2016-01-07	6452	268675	NULL	NULL
2016-01-08	6275	274947	NULL	NULL
2016-01-09	4416	279362	NULL	NULL
2016-01-10	5496	284854	NULL	NULL
2016-01-11	6485	291336	NULL	NULL
2016-01-12	6597	297930	NULL	NULL
2016-01-13	6297	304219	NULL	NULL
2016-01-14	5911	310126	418202	163202
2016-01-15	5566	315691	NULL	NULL
2016-01-16	4183	319873	NULL	NULL
2016-01-17	4827	324697	NULL	NULL
2016-01-18	5697	330387	NULL	NULL
2016-01-19	5915	336294	NULL	NULL
2016-01-20	6643	342897	NULL	NULL
2016-01-21	7557	350409	NULL	NULL
2016-01-22	6591	356960	NULL	NULL
2016-01-23	6693	363642	NULL	NULL
2016-01-24	5192	368727	NULL	NULL
2016-01-25	6584	374917	NULL	NULL
