datestamp,percentPageloadsAreTLS,countTLS,countPageloads,timeAdded
2013-10-01,28.9067,993884,3438244,2016-11-29 20:52:14
2013-10-02,28.3625,12290846,43334814,2016-11-29 20:52:14
2013-10-03,27.9924,14616923,52217426,2016-11-29 20:52:15
2013-10-04,28.0012,14248363,50884770,2016-11-29 20:52:15
2013-10-05,26.0789,11581852,44410876,2016-11-29 20:52:15
2013-10-06,25.5657,13325092,52120976,2016-11-29 20:52:15
2013-10-07,26.6278,128102972,481087138,2016-11-29 20:52:15
2013-10-08,27.6745,155128248,560545230,2016-11-29 20:52:15
2013-10-09,27.9116,156316448,560040676,2016-11-29 20:52:15
2013-10-10,27.9729,160558828,573980891,2016-11-29 20:52:15
2013-10-11,27.4615,152090127,553829388,2016-11-29 20:52:15
2013-10-12,26.3260,116088690,440966122,2016-11-29 20:52:15
2013-10-13,25.3733,113084213,445682759,2016-11-29 20:52:15
2013-10-14,26.2945,145538986,553495870,2016-11-29 20:52:15
2013-10-15,27.5174,160254062,582373309,2016-11-29 20:52:15
2013-10-16,27.9232,161384040,577956832,2016-11-29 20:52:15
2013-10-17,27.8679,161669443,580127535,2016-11-29 20:52:15
2013-10-18,27.6099,153916783,557469675,2016-11-29 20:52:15
2013-10-19,26.3510,120757635,458265707,2016-11-29 20:52:16
2013-10-20,25.1374,116281844,462584303,2016-11-29 20:52:16
2013-10-21,26.5513,155653484,586236056,2016-11-29 20:52:16
2013-10-22,27.8938,169043048,606023976,2016-11-29 20:52:16
2013-10-23,27.8197,164471174,591204166,2016-11-29 20:52:16
2013-10-24,27.6424,160954964,582275109,2016-11-29 20:52:16
2013-10-25,27.6224,154560342,559546305,2016-11-29 20:52:16
2013-10-26,26.2090,119529423,456061781,2016-11-29 20:52:16
2013-10-27,25.2809,117896302,466345218,2016-11-29 20:52:16
2013-10-28,26.5656,156880851,590541392,2016-11-29 20:52:16
2013-10-29,27.3495,144529,528452,2016-11-29 20:52:17
2013-10-30,27.8538,3046999,10939277,2016-11-29 20:52:17
2013-10-31,27.3062,12680601,46438577,2016-11-29 20:52:17
2013-11-01,26.9659,21995978,81569598,2016-11-29 20:52:17
2013-11-02,25.4809,23493256,92199361,2016-11-29 20:52:17
2013-11-03,24.2595,24943242,102818488,2016-11-29 20:52:17
2013-11-04,25.5789,33003829,129027371,2016-11-29 20:52:17
2013-11-05,26.7683,38991540,145663067,2016-11-29 20:52:17
2013-11-06,27.2401,45191022,165898929,2016-11-29 20:52:17
2013-11-07,27.5495,76586858,277996785,2016-11-29 20:52:18
2013-11-08,27.6856,88921190,321182448,2016-11-29 20:52:18
2013-11-09,25.6603,43717873,170371810,2016-11-29 20:52:18
2013-11-10,24.5016,93571950,381901857,2016-11-29 20:52:18
2013-11-11,25.7911,127628566,494854353,2016-11-29 20:52:18
2013-11-12,27.2180,111921290,411202971,2016-11-29 20:52:18
2013-11-13,27.8164,157555754,566413237,2016-11-29 20:52:18
2013-11-14,27.8047,153346769,551513861,2016-11-29 20:52:18
2013-11-15,27.7802,120899966,435201410,2016-11-29 20:52:18
2013-11-16,26.1970,118271400,451469539,2016-11-29 20:52:18
2013-11-17,25.3305,114472555,451916403,2016-11-29 20:52:18
2013-11-18,26.1357,148461437,568041603,2016-11-29 20:52:18
2013-11-19,27.6907,147998118,534467846,2016-11-29 20:52:18
2013-11-20,27.9097,165402407,592633351,2016-11-29 20:52:18
2013-11-21,28.0101,159020754,567726521,2016-11-29 20:52:18
2013-11-22,27.7342,151249692,545354992,2016-11-29 20:52:18
2013-11-23,26.3632,118942849,451169522,2016-11-29 20:52:19
2013-11-24,25.1291,116008765,461650977,2016-11-29 20:52:19
2013-11-25,26.6318,152702099,573382562,2016-11-29 20:52:19
2013-11-26,27.8291,165374625,594251119,2016-11-29 20:52:19
2013-11-27,27.5399,159261610,578293137,2016-11-29 20:52:19
2013-11-28,26.9455,146335897,543080091,2016-11-29 20:52:19
2013-11-29,27.0850,141814595,523590538,2016-11-29 20:52:19
2013-11-30,26.0901,118155868,452876756,2016-11-29 20:52:19
2013-12-01,25.4741,117618236,461717721,2016-11-29 20:52:19
2013-12-02,26.8093,156640274,584275900,2016-11-29 20:52:19
2013-12-03,28.2031,167484912,593853225,2016-11-29 20:52:19
2013-12-04,28.1331,164688336,585390123,2016-11-29 20:52:19
2013-12-05,28.4394,133455781,469264512,2016-11-29 20:52:19
2013-12-06,28.0447,151314690,539547884,2016-11-29 20:52:19
2013-12-07,26.5486,119944437,451792286,2016-11-29 20:52:19
2013-12-08,25.2228,116100999,460302457,2016-11-29 20:52:20
2013-12-09,26.5735,153551363,577835830,2016-11-29 20:52:20
2013-12-10,19.9936,148166,741067,2016-11-29 20:52:22
2013-12-11,26.7045,2781048,10414162,2016-11-29 20:52:22
2013-12-12,27.1759,12087829,44479939,2016-11-29 20:52:22
2013-12-13,27.8754,22821736,81870391,2016-11-29 20:52:22
2013-12-14,26.3833,24056096,91179269,2016-11-29 20:52:22
2013-12-15,24.4575,25530444,104386838,2016-11-29 20:52:22
2013-12-16,25.8610,34452149,133220417,2016-11-29 20:52:22
2013-12-17,27.3241,40057691,146601937,2016-11-29 20:52:22
2013-12-18,27.4786,40343873,146819037,2016-11-29 20:52:22
2013-12-19,27.6911,40931275,147813948,2016-11-29 20:52:22
2013-12-20,27.7841,41684478,150029764,2016-11-29 20:52:22
2013-12-21,26.2779,50622388,192642435,2016-11-29 20:52:22
2013-12-22,24.7915,66415718,267897383,2016-11-29 20:52:22
2013-12-23,25.2037,85887854,340774775,2016-11-29 20:52:22
2013-12-24,26.0550,92879755,356476295,2016-11-29 20:52:23
2013-12-25,25.3055,80688520,318857081,2016-11-29 20:52:23
2013-12-26,25.5302,94804205,371340981,2016-11-29 20:52:23
2013-12-27,26.1060,108864192,417007942,2016-11-29 20:52:23
2013-12-28,25.6070,98462715,384515488,2016-11-29 20:52:23
2013-12-29,24.6298,93985249,381591171,2016-11-29 20:52:23
2013-12-30,25.6010,112519954,439514592,2016-11-29 20:52:23
2013-12-31,26.4801,111175995,419847697,2016-11-29 20:52:23
2014-01-01,25.2781,94482417,373772456,2016-11-29 20:52:23
2014-01-02,26.5476,119605341,450531208,2016-11-29 20:52:23
2014-01-03,26.9468,133000487,493566247,2016-11-29 20:52:23
2014-01-04,25.8648,111126937,429644948,2016-11-29 20:52:23
2014-01-05,24.9386,106293938,426222171,2016-11-29 20:52:23
2014-01-06,26.1655,127255220,486348167,2016-11-29 20:52:23
2014-01-07,27.6444,147004466,531768775,2016-11-29 20:52:23
2014-01-08,27.9703,147485599,527293989,2016-11-29 20:52:23
2014-01-09,28.1078,147347263,524221568,2016-11-29 20:52:24
2014-01-10,28.1857,144629541,513131443,2016-11-29 20:52:24
2014-01-11,26.8497,113492423,422695489,2016-11-29 20:52:24
2014-01-12,25.5626,110135391,430845541,2016-11-29 20:52:24
2014-01-13,27.2968,145585940,533344248,2016-11-29 20:52:24
2014-01-14,28.2404,154162673,545894614,2016-11-29 20:52:24
2014-01-15,28.7848,159061818,552590080,2016-11-29 20:52:24
2014-01-16,28.5170,159983662,561011142,2016-11-29 20:52:24
2014-01-17,28.2920,149002500,526660215,2016-11-29 20:52:24
2014-01-18,27.0536,111649282,412696546,2016-11-29 20:52:24
2014-01-19,25.6262,102311028,399243089,2016-11-29 20:52:24
2014-01-20,27.0118,132852525,491832053,2016-11-29 20:52:24
2014-01-21,28.1889,145857526,517429838,2016-11-29 20:52:24
2014-01-22,28.4028,135676351,477687202,2016-11-29 20:52:24
2014-01-23,28.6675,154470370,538834308,2016-11-29 20:52:24
2014-01-24,28.8536,146602244,508089876,2016-11-29 20:52:24
2014-01-25,27.0139,117013331,433158910,2016-11-29 20:52:25
2014-01-26,25.8706,105195316,406621703,2016-11-29 20:52:25
2014-01-27,27.3804,138972759,507562860,2016-11-29 20:52:25
2014-01-28,28.5221,155995955,546929868,2016-11-29 20:52:25
2014-01-29,28.7370,142694240,496552910,2016-11-29 20:52:25
2014-01-30,28.5653,141826065,496497831,2016-11-29 20:52:25
2014-01-31,28.6060,139284608,486907562,2016-11-29 20:52:25
2014-02-01,27.4849,115656185,420799040,2016-11-29 20:52:25
2014-02-02,26.2371,103619507,394934511,2016-11-29 20:52:25
2014-02-03,27.7613,146253569,526825270,2016-11-29 20:52:25
2014-02-04,28.9999,141371681,487489559,2016-11-29 20:52:25
2014-02-05,28.9536,2271043,7843724,2016-11-29 20:52:26
2014-02-06,29.6240,11229204,37905729,2016-11-29 20:52:26
2014-02-07,28.8717,24324803,84251492,2016-11-29 20:52:26
2014-02-08,27.2816,32813164,120275779,2016-11-29 20:52:26
2014-02-09,25.5968,34092010,133188594,2016-11-29 20:52:26
2014-02-10,27.0886,46368094,171172113,2016-11-29 20:52:27
2014-02-11,28.7928,53143521,184572373,2016-11-29 20:52:27
2014-02-12,28.6373,57176935,199658855,2016-11-29 20:52:27
2014-02-13,28.7604,64225850,223313421,2016-11-29 20:52:27
2014-02-14,28.6410,57427678,200508285,2016-11-29 20:52:27
2014-02-15,26.9632,46830857,173684351,2016-11-29 20:52:27
2014-02-16,25.8585,67014319,259157940,2016-11-29 20:52:27
2014-02-17,26.6061,87394992,328477309,2016-11-29 20:52:27
2014-02-18,28.0389,119212826,425169928,2016-11-29 20:52:27
2014-02-19,28.5579,131689086,461130139,2016-11-29 20:52:27
2014-02-20,28.2942,135843776,480112188,2016-11-29 20:52:27
2014-02-21,28.4032,134639341,474028682,2016-11-29 20:52:27
2014-02-22,27.1688,105322267,387658312,2016-11-29 20:52:27
2014-02-23,26.3011,107512679,408776724,2016-11-29 20:52:27
2014-02-24,27.8163,140674715,505728322,2016-11-29 20:52:27
2014-02-25,28.8264,154423964,535703083,2016-11-29 20:52:27
2014-02-26,28.9876,155157032,535252982,2016-11-29 20:52:28
2014-02-27,29.1053,151249895,519664577,2016-11-29 20:52:28
2014-02-28,29.1334,147171538,505163510,2016-11-29 20:52:28
2014-03-01,27.8852,115542805,414350991,2016-11-29 20:52:28
2014-03-02,26.6526,113590622,426189335,2016-11-29 20:52:28
2014-03-03,28.0387,145778287,519917482,2016-11-29 20:52:28
2014-03-04,28.9571,155134741,535739202,2016-11-29 20:52:28
2014-03-05,29.6068,156231021,527686562,2016-11-29 20:52:28
2014-03-06,29.5599,157810120,533864693,2016-11-29 20:52:28
2014-03-07,29.4405,147556950,501203984,2016-11-29 20:52:28
2014-03-08,27.8087,113454671,407982958,2016-11-29 20:52:28
2014-03-09,26.7170,110445740,413391416,2016-11-29 20:52:28
2014-03-10,28.2074,146062303,517815601,2016-11-29 20:52:28
2014-03-11,29.3792,156968798,534284842,2016-11-29 20:52:28
2014-03-12,29.4933,155321576,526633574,2016-11-29 20:52:28
2014-03-13,29.5356,156336889,529316589,2016-11-29 20:52:28
2014-03-14,29.3335,147333211,502269712,2016-11-29 20:52:28
2014-03-15,28.2503,115105534,407448244,2016-11-29 20:52:29
2014-03-16,27.0419,110476592,408538813,2016-11-29 20:52:29
2014-03-17,28.1428,145993060,518757501,2016-11-29 20:52:29
2014-03-18,29.2653,156991178,536440570,2016-11-29 20:52:29
2014-03-19,28.2817,1992282,7044420,2016-11-29 20:52:30
2014-03-20,28.5077,10660315,37394523,2016-11-29 20:52:30
2014-03-21,28.3805,19185855,67602163,2016-11-29 20:52:30
2014-03-22,27.0294,20109061,74397131,2016-11-29 20:52:30
2014-03-23,25.4977,21899393,85887804,2016-11-29 20:52:30
2014-03-24,26.9338,28752869,106753955,2016-11-29 20:52:31
2014-03-25,28.3591,34944330,123220842,2016-11-29 20:52:31
2014-03-26,28.5129,36456006,127857997,2016-11-29 20:52:31
2014-03-27,28.9036,36789161,127282139,2016-11-29 20:52:31
2014-03-28,28.9021,36016781,124616617,2016-11-29 20:52:31
2014-03-29,28.0171,31654913,112984402,2016-11-29 20:52:31
2014-03-30,26.9823,46739707,173223424,2016-11-29 20:52:31
2014-03-31,28.2823,76709939,271229833,2016-11-29 20:52:31
2014-04-01,30.1535,105472212,349784855,2016-11-29 20:52:31
2014-04-02,30.9153,123171917,398417811,2016-11-29 20:52:31
2014-04-03,30.9269,130173617,420907030,2016-11-29 20:52:31
2014-04-04,30.7115,129581897,421933378,2016-11-29 20:52:31
2014-04-05,29.2946,104966946,358315605,2016-11-29 20:52:31
2014-04-06,28.0444,102997370,367265150,2016-11-29 20:52:31
2014-04-07,29.5268,137662606,466229573,2016-11-29 20:52:31
2014-04-08,30.4225,148611347,488491951,2016-11-29 20:52:31
2014-04-09,30.5897,148258830,484668403,2016-11-29 20:52:32
2014-04-10,30.7743,149194478,484802524,2016-11-29 20:52:32
2014-04-11,26.4181,2537554,9605360,2016-11-29 20:52:32
2014-04-12,26.5833,3033405,11410945,2016-11-29 20:52:32
2014-04-13,28.3114,102652096,362582835,2016-11-29 20:52:32
2014-04-14,29.7683,142283463,477969525,2016-11-29 20:52:32
2014-04-15,31.0999,151494888,487122687,2016-11-29 20:52:32
2014-04-16,31.0100,147917277,476998062,2016-11-29 20:52:32
2014-04-17,30.9454,139204782,449840139,2016-11-29 20:52:32
2014-04-18,29.7864,120497355,404538296,2016-11-29 20:52:32
2014-04-19,29.0659,104421418,359257803,2016-11-29 20:52:32
2014-04-20,27.8761,98263868,352502070,2016-11-29 20:52:32
2014-04-21,28.6395,125011837,436501975,2016-11-29 20:52:32
2014-04-22,31.0796,155213457,499406622,2016-11-29 20:52:32
2014-04-23,31.2070,155049849,496843063,2016-11-29 20:52:32
2014-04-24,31.7181,150936535,475869453,2016-11-29 20:52:32
2014-04-25,31.4675,140678345,447058524,2016-11-29 20:52:33
2014-04-26,30.1374,112795096,374268889,2016-11-29 20:52:33
2014-04-27,29.1407,110770785,380124149,2016-11-29 20:52:33
2014-04-28,30.7381,150449621,489456440,2016-11-29 20:52:33
2014-04-29,33.6566,598568,1778456,2016-11-29 20:52:34
2014-04-30,33.1541,5105124,15398187,2016-11-29 20:52:34
